Call ID,Emp. Id's,SD Call Sub Type,ACHT,Mobile Number
73058356,CE0621938059,Outbound and email- Connected,6,9123456790
73059517,CE0621938185,Only Email Sent,8,9123456792
73058395,CE0621938059,Only Email Sent,10,9123456794
73056858,CE0621938061,Outbound and email- Connected,13,9123456797
72823827,CE1020935331,Only Email Sent,15,9123456799
72929503,AE071921619,Only Email Sent,17,9123456801
73047963,AE062028443,Only Email Sent,19,9123456803
72090635,CE0121935819,Only Email Sent,20,9123456804
72178209,CE0421937416,Only Email Sent,21,9123456805
73043860,AE071921617,Only Email Sent,22,9123456806
72550316,CE0121935819,Only Email Sent,23,9123456807
72922318,AE071921619,Only Email Sent,24,9123456808
73057180,CE0621938061,Only Email Sent,25,9123456809
73058877,CE0621938059,Only Email Sent,26,9123456810
72962313,AE022133481,Only Email Sent,27,9123456811
73058437,CE0621938059,Only Email Sent,28,9123456812
73058044,CE1020935331,Only Email Sent,29,9123456813
72963011,AE022133481,Only Email Sent,30,9123456814
73058205,CE0621938043,Only Email Sent,32,9123456816
73058485,CE0621938044,Only Email Sent,33,9123456817
72508343,CE0121935819,Only Email Sent,34,9123456818
73058277,CE0621938043,Only Email Sent,35,9123456819
72964271,AE022133481,Only Email Sent,36,9123456820
72553291,CE0621938064,Outbound and email- Non-Connected,37,9123456821
72867103,CE0121935819,Only Email Sent,38,9123456822
72575388,CE0121935819,Only Email Sent,39,9123456823
73058490,CE0621938044,Only Email Sent,40,9123456824
72788725,AE071921617,Only Email Sent,41,9123456825
73045179,AE062028443,Outbound and email- Non-Connected,42,9123456826
73024606,CE1020935331,Only Email Sent,43,9123456827
72569217,CE0621938064,Outbound and email- Connected,44,9123456828
71976860,CE0121935819,Only Email Sent,45,9123456829
73059518,CE0621938185,Only Email Sent,46,9123456830
72811614,CE0621938185,Only Email Sent,47,9123456831
72747738,AE022133482,Only Email Sent,48,9123456832
72246515,AE071921617,Outbound and email- Non-Connected,49,9123456833
73058207,CE0621938043,Only Email Sent,51,9123456835
72780150,CE0121935819,Only Email Sent,52,9123456836
73047415,AE062028443,Only Email Sent,53,9123456837
72996564,AE022133481,Only Email Sent,54,9123456838
72154640,CE0121935819,Only Email Sent,55,9123456839
71998089,AE051919290,Only Email Sent,56,9123456840
73058858,CE0621938044,Only Email Sent,58,9123456842
73046054,AE062028443,Only Email Sent,59,9123456843
72879167,CE0421937416,Only Email Sent,60,9123456844
72990605,CE0121935819,Only Email Sent,61,9123456845
72221178,CE0621938064,Only Email Sent,62,9123456846
72984918,AE051919290,Only Email Sent,63,9123456847
73038306,AE062028502,Only Email Sent,64,9123456848
72922184,AE071921619,Only Email Sent,65,9123456849
72888004,CE0421937466,Only Email Sent,66,9123456850
72006844,CE0121935819,Only Email Sent,67,9123456851
73045342,AE062028443,Only Email Sent,68,9123456852
73058240,CE1020935331,Only Email Sent,69,9123456853
72963926,AE022133481,Only Email Sent,70,9123456854
73059553,AE062135292,Outbound and email- Connected,71,9123456855
73058291,CE0621938043,Only Email Sent,72,9123456856
73058821,AE051919290,Only Email Sent,73,9123456857
72976688,AE022133482,Only Email Sent,74,9123456858
72973392,CE0421937466,Outbound and email- Non-Connected,75,9123456859
72787133,AE051919290,Only Email Sent,76,9123456860
73040940,CE0621938059,Only Email Sent,77,9123456861
72847204,CE0421937416,Only Email Sent,78,9123456862
72988323,AE051919290,Only Email Sent,79,9123456863
73057649,CE0621938061,Outbound and email- Connected,80,9123456864
72882737,CE0621938059,Only Email Sent,81,9123456865
72702064,CE0421937416,Only Email Sent,82,9123456866
73048272,AE062028443,Only Email Sent,83,9123456867
73059230,CE0621938185,Only Email Sent,84,9123456868
72164708,AE022133482,Only Email Sent,85,9123456869
73049415,AE071921617,Only Email Sent,86,9123456870
73059013,CE0621938059,Only Email Sent,87,9123456871
73054029,CE1020935331,Only Email Sent,88,9123456872
72918638,AE071921619,Only Email Sent,89,9123456873
72874366,CE0121935819,Only Email Sent,90,9123456874
73058163,CE0621938043,Only Email Sent,91,9123456875
72298615,CE0121935819,Only Email Sent,92,9123456876
73043774,AE062028502,Only Email Sent,93,9123456877
72962308,AE022133481,Only Email Sent,94,9123456878
72601222,AE051919290,Only Email Sent,95,9123456879
73046425,AE062028443,Only Email Sent,96,9123456880
72701030,AE071921617,Only Email Sent,97,9123456881
72963052,AE022133481,Only Email Sent,98,9123456882
73049410,AE071921617,Only Email Sent,99,9123456883
73050260,CE1020935331,Only Email Sent,101,9123456885
72937929,AE071921619,Only Email Sent,102,9123456886
72963645,AE022133481,Only Email Sent,103,9123456887
73007148,CE1020935331,Only Email Sent,104,9123456888
73058849,CE0621938044,Only Email Sent,105,9123456889
73046239,CE1020935331,Only Email Sent,106,9123456890
73057195,CE0621938061,Only Email Sent,107,9123456891
73058992,AE051919290,Only Email Sent,108,9123456892
72940017,CE0121935819,Only Email Sent,109,9123456893
72961077,AE022133481,Only Email Sent,110,9123456894
73058991,CE0121935819,Outbound and email- Non-Connected,111,9123456895
72938288,AE071921619,Only Email Sent,112,9123456896
72787110,AE102032232,Only Email Sent,113,9123456897
73022380,AE051919290,Only Email Sent,114,9123456898
73058774,AE051919290,Only Email Sent,115,9123456899
72944652,AE071921619,Only Email Sent,116,9123456900
73001819,AE071921617,Only Email Sent,117,9123456901
72855435,CE0421937466,Only Email Sent,118,9123456902
72815761,CE0621938185,Only Email Sent,119,9123456903
72912150,AE062028443,Only Email Sent,120,9123456904
73052016,CE0621938185,Only Email Sent,121,9123456905
73058769,CE0121935819,Only Email Sent,122,9123456906
73058285,CE0621938043,Only Email Sent,123,9123456907
73023722,CE1020935331,Only Email Sent,124,9123456908
73059621,CE0621938064,Outbound and email- Connected,125,9123456909
72942120,AE062028443,Only Email Sent,126,9123456910
72980060,AE022133482,Only Email Sent,127,9123456911
73043396,AE071921617,Only Email Sent,128,9123456912
73042220,AE102032232,Only Email Sent,129,9123456913
73053592,CE0621938062,Only Email Sent,130,9123456914
73010711,AE102032232,Outbound and email- Connected,131,9123456915
72959519,AE051919290,Only Email Sent,132,9123456916
73007225,CE0421937416,Only Email Sent,133,9123456917
72981191,AE062028443,Outbound and email- Non-Connected,134,9123456918
73059865,CE0621938062,Only Email Sent,135,9123456919
73059123,AE051919290,Only Email Sent,136,9123456920
73042485,AE102032232,Only Email Sent,137,9123456921
73046057,AE071921617,Only Email Sent,138,9123456922
73035767,AE062028502,Only Email Sent,139,9123456923
72935552,CE0421937466,Only Email Sent,140,9123456924
72713031,CE0421937416,Only Email Sent,141,9123456925
72980058,AE022133482,Only Email Sent,142,9123456926
73037312,AE062028502,Only Email Sent,143,9123456927
72962044,AE062028443,Only Email Sent,144,9123456928
72960286,AE022133481,Only Email Sent,145,9123456929
73046807,AE071921617,Only Email Sent,146,9123456930
73058916,AE051919290,Only Email Sent,147,9123456931
73010285,AE071921617,Only Email Sent,148,9123456932
72960417,AE022133481,Only Email Sent,149,9123456933
72960310,AE022133481,Only Email Sent,150,9123456934
72998584,AE062028443,Outbound and email- Non-Connected,151,9123456935
72885736,CE0421937416,Only Email Sent,152,9123456936
72979986,AE022133482,Outbound and email- Non-Connected,153,9123456937
72994643,CE0421937416,Only Email Sent,154,9123456938
72880807,AE102032232,Only Email Sent,155,9123456939
73059671,CE0621938044,Only Email Sent,156,9123456940
73057926,CE0621938061,Only Email Sent,157,9123456941
72505825,CE0421937466,Only Email Sent,158,9123456942
73059519,AE062135292,Only Email Sent,159,9123456943
73059673,CE0621938044,Only Email Sent,160,9123456944
72959679,AE022133481,Only Email Sent,161,9123456945
72950436,AE071921619,Only Email Sent,162,9123456946
72811615,CE0621938185,Only Email Sent,163,9123456947
72959901,AE022133481,Only Email Sent,164,9123456948
72811616,CE0621938185,Only Email Sent,165,9123456949
73059705,CE0621938064,Only Email Sent,166,9123456950
73059672,CE0621938044,Only Email Sent,167,9123456951
72980019,AE022133482,Only Email Sent,168,9123456952
72817300,CE0421937416,Only Email Sent,169,9123456953
73004736,AE071921617,Only Email Sent,170,9123456954
73043333,AE062028443,Outbound and email- Non-Connected,171,9123456955
73060060,CE0621938062,Only Email Sent,172,9123456956
73003286,AE071921617,Only Email Sent,173,9123456957
72938974,AE071921619,Outbound and email- Non-Connected,174,9123456958
72960047,AE022133481,Only Email Sent,175,9123456959
73059507,AE062135292,Only Email Sent,176,9123456960
73046457,AE071921617,Only Email Sent,177,9123456961
72960071,AE022133481,Only Email Sent,178,9123456962
72982247,AE022133482,Only Email Sent,179,9123456963
72755456,CE0421937466,Only Email Sent,181,9123456965
73057361,CE0621938061,Outbound and email- Non-Connected,182,9123456966
72940843,AE071921619,Only Email Sent,183,9123456967
72993206,AE071921617,Only Email Sent,184,9123456968
72747326,CE0621938062,Only Email Sent,185,9123456969
72998252,AE051919290,Only Email Sent,186,9123456970
73055994,AE051919290,Only Email Sent,187,9123456971
73031169,AE022133481,Only Email Sent,188,9123456972
73044444,CE1020935331,Only Email Sent,189,9123456973
73058301,AE051919290,Only Email Sent,190,9123456974
73014409,CE0421937466,Only Email Sent,192,9123456976
72522005,CE0121935819,Only Email Sent,193,9123456977
72625706,CE0121935819,Only Email Sent,194,9123456978
72769677,CE1020935331,Only Email Sent,195,9123456979
73059816,CE0621938062,Only Email Sent,196,9123456980
72938595,CE1020935331,Only Email Sent,197,9123456981
73023266,AE022133482,Only Email Sent,198,9123456982
73041632,AE102032232,Only Email Sent,199,9123456983
73041695,AE102032232,Only Email Sent,200,9123456984
73032483,AE062028502,Only Email Sent,201,9123456985
73041374,AE102032232,Only Email Sent,202,9123456986
72973830,CE0121935818,Only Email Sent,203,9123456987
72971773,CE0421937466,Only Email Sent,204,9123456988
72924699,CE0121935819,Only Email Sent,205,9123456989
72845485,AE071921617,Only Email Sent,206,9123456990
73044501,AE022133481,Only Email Sent,207,9123456991
73033269,AE062028502,Only Email Sent,209,9123456993
72939094,CE0121935819,Only Email Sent,210,9123456994
73059622,AE071921617,Only Email Sent,211,9123456995
72990780,AE062028443,Only Email Sent,212,9123456996
73018549,CE0421937416,Only Email Sent,213,9123456997
73059282,AE062135292,Outbound and email- Connected,214,9123456998
73032629,AE062028502,Only Email Sent,215,9123456999
73020455,AE071921619,Only Email Sent,216,9123457000
73040188,AE102032232,Only Email Sent,217,9123457001
72780686,CE0421937416,Only Email Sent,218,9123457002
73031279,AE022133481,Only Email Sent,220,9123457004
73009721,AE102032232,Only Email Sent,221,9123457005
72959233,AE022133481,Only Email Sent,222,9123457006
72997740,AE022133479,Only Email Sent,223,9123457007
72998687,AE022133482,Only Email Sent,224,9123457008
73039304,AE102032232,Only Email Sent,225,9123457009
72593902,AE051919290,Only Email Sent,226,9123457010
73058773,AE051919290,Only Email Sent,227,9123457011
73000057,AE022133482,Only Email Sent,228,9123457012
72963797,CE1020935331,Only Email Sent,229,9123457013
72937451,AE071921619,Only Email Sent,230,9123457014
72694417,AE051919290,Only Email Sent,231,9123457015
73018612,AE071921619,Only Email Sent,232,9123457016
73058496,CE0621938043,Only Email Sent,233,9123457017
72976082,AE062028443,Outbound and email- Non-Connected,234,9123457018
72958974,CE0621938064,Only Email Sent,235,9123457019
73006892,AE062028443,Outbound and email- Non-Connected,236,9123457020
73060084,CE0621938061,Outbound and email- Non-Connected,237,9123457021
72256623,AE051919290,Only Email Sent,238,9123457022
72884316,AE071921617,Only Email Sent,239,9123457023
73059858,CE0621938043,Only Email Sent,240,9123457024
73060318,CE0621938043,Only Email Sent,241,9123457025
73057409,AE051919290,Only Email Sent,242,9123457026
73009732,AE022133482,Only Email Sent,243,9123457027
73059500,AE071921617,Outbound and email- Non-Connected,244,9123457028
73032932,AE062028502,Only Email Sent,245,9123457029
72731861,AE051919290,Only Email Sent,246,9123457030
73060479,AE062135292,Only Email Sent,247,9123457031
73002871,AE022133482,Only Email Sent,248,9123457032
72996523,AE022133482,Only Email Sent,249,9123457033
72640764,AE051919290,Only Email Sent,250,9123457034
72676343,CE0121935819,Only Email Sent,251,9123457035
72757089,CE0121935819,Only Email Sent,252,9123457036
73039606,AE102032232,Only Email Sent,253,9123457037
73044471,AE022133481,Only Email Sent,254,9123457038
71952916,AE051919290,Only Email Sent,255,9123457039
72959016,AE022133481,Only Email Sent,256,9123457040
73057526,AE051919290,Only Email Sent,257,9123457041
72121240,AE062135306,Outbound and email- Non-Connected,258,9123457042
72650613,CE0121935819,Only Email Sent,260,9123457044
73035336,AE062028502,Only Email Sent,262,9123457046
72935841,CE0121935819,Only Email Sent,263,9123457047
73007279,CE0421937466,Outbound and email- Non-Connected,264,9123457048
72828257,CE0121935819,Only Email Sent,265,9123457049
73012297,CE0121935819,Outbound and email- Non-Connected,266,9123457050
72646530,CE0121935819,Only Email Sent,267,9123457051
73015030,AE062028443,Outbound and email- Non-Connected,268,9123457052
73040394,AE102032232,Only Email Sent,269,9123457053
73031203,AE062135292,Outbound and email- Connected,270,9123457054
73044530,AE022133481,Only Email Sent,271,9123457055
72788578,CE0121935819,Only Email Sent,272,9123457056
72966817,CE0121935818,Only Email Sent,273,9123457057
72989290,CE0121935819,Only Email Sent,274,9123457058
73058638,CE0621938044,Outbound and email- Connected,276,9123457060
73041683,AE102032232,Only Email Sent,277,9123457061
72958092,CE0121935819,Only Email Sent,278,9123457062
73059238,AE062135292,Only Email Sent,279,9123457063
72959492,AE022133481,Only Email Sent,280,9123457064
73021337,AE071921619,Only Email Sent,281,9123457065
73030302,CE0621938059,Only Email Sent,282,9123457066
73019921,AE071921619,Only Email Sent,283,9123457067
72894285,CE0121935819,Only Email Sent,284,9123457068
72655403,CE0121935819,Only Email Sent,285,9123457069
73041137,AE102032232,Only Email Sent,286,9123457070
73060317,CE0621938043,Only Email Sent,287,9123457071
72990634,CE0121935819,Only Email Sent,288,9123457072
72928721,CE0621938044,Only Email Sent,289,9123457073
73039566,AE102032232,Only Email Sent,290,9123457074
73014868,AE062028443,Outbound and email- Non-Connected,291,9123457075
73054161,CE0621938062,Only Email Sent,292,9123457076
72870106,CE0421937466,Outbound and email- Connected,293,9123457077
73060019,CE0621938061,Outbound and email- Non-Connected,294,9123457078
73010764,AE022133482,Only Email Sent,295,9123457079
72933463,AE051919290,Outbound and email- Non-Connected,296,9123457080
72896608,CE0621938061,Only Email Sent,297,9123457081
72947174,AE071921619,Only Email Sent,298,9123457082
73040994,AE102032232,Only Email Sent,299,9123457083
72959680,AE022133481,Only Email Sent,300,9123457084
72912557,CE0121935819,Only Email Sent,301,9123457085
73007651,AE022133482,Only Email Sent,302,9123457086
73010848,AE022133482,Only Email Sent,303,9123457087
72927226,CE0121935819,Only Email Sent,304,9123457088
73000304,AE022133482,Outbound and email- Non-Connected,305,9123457089
73029223,CE0121935819,Outbound and email- Non-Connected,306,9123457090
73047099,AE102032232,Outbound and email- Connected,332,9123457116
72919773,AE022133479,Outbound and email- Connected,349,9123457133
72757029,CE0421937466,Outbound and email- Connected,369,9123457153
73022586,CE0621938064,Outbound and email- Connected,389,9123457173
73057932,CE0621938061,Outbound and email- Connected,408,9123457192
73030351,CE0621938059,Outbound and email- Connected,410,9123457194
72875258,CE0621938061,Outbound and email- Connected,416,9123457200
73027205,AE062135292,Outbound and email- Connected,424,9123457208
73021597,AE042134725,Outbound and email- Connected,451,9123457235
73042404,CE0621938185,Outbound and email- Connected,453,9123457237
72867751,AE042134725,Outbound and email- Connected,466,9123457250
72992774,AE022133482,Outbound and email- Connected,474,9123457258
73053576,CE1020935331,Outbound and email- Connected,513,9123457297
72905208,CE0421937416,Outbound and email- Connected,519,9123457303
72744071,CE0421937466,Outbound and email- Connected,523,9123457307
72998574,CE1020935331,Outbound and email- Connected,541,9123457325
72936523,AE071921617,Outbound and email- Connected,547,9123457331
72936558,AE022133479,Outbound and email- Connected,552,9123457336
73015325,AE051919290,Outbound and email- Connected,582,9123457366
73000978,AE042134725,Outbound and email- Connected,602,9123457386
72858733,CE0421937466,Outbound and email- Connected,616,9123457400
72892616,AE022133479,Outbound and email- Connected,624,9123457408
72955244,CE0121935818,Outbound and email- Connected,631,9123457415
73001721,AE042134725,Outbound and email- Connected,633,9123457417
72977539,AE062028502,Outbound and email- Connected,640,9123457424
72820084,AE062028443,Outbound and email- Connected,645,9123457429
72977497,AE062028502,Outbound and email- Connected,646,9123457430
72892526,AE022133479,Outbound and email- Connected,647,9123457431
72779222,CE0121935819,Outbound and email- Connected,649,9123457433
73022763,CE0621938064,Outbound and email- Connected,653,9123457437
72823147,CE0421937466,Outbound and email- Connected,677,9123457461
73023463,CE0621938061,Outbound and email- Connected,682,9123457466
73024467,AE022133482,Outbound and email- Connected,686,9123457470
72963951,CE0421937466,Outbound and email- Connected,704,9123457488
73029377,CE0621938059,Outbound and email- Connected,711,9123457495
73011852,AE071921617,Outbound and email- Connected,716,9123457500
73004901,AE042134725,Outbound and email- Connected,724,9123457508
73019791,CE0621938043,Outbound and email- Connected,731,9123457515
72974558,AE062028443,Outbound and email- Connected,742,9123457526
72926208,CE0421937466,Outbound and email- Connected,764,9123457548
73024194,AE051919290,Outbound and email- Connected,766,9123457550
72866664,AE071921617,Outbound and email- Connected,771,9123457555
72866070,CE0121935819,Outbound and email- Connected,772,9123457556
72888920,CE0421937466,Outbound and email- Connected,775,9123457559
73025690,CE0421937464,Outbound and email- Connected,778,9123457562
73007419,AE042134725,Outbound and email- Connected,785,9123457569
72886217,AE042134725,Outbound and email- Connected,795,9123457579
72854633,CE0421937466,Outbound and email- Connected,799,9123457583
72920109,AE102032232,Outbound and email- Connected,834,9123457618
72879150,AE042134725,Outbound and email- Connected,837,9123457621
73043711,CE0621938043,Outbound and email- Connected,853,9123457637
72933432,CE0421937466,Outbound and email- Connected,914,9123457698
73054830,CE0621938061,Outbound and email- Connected,928,9123457712
73050527,CE1020935331,Outbound and email- Connected,949,9123457733
72935662,AE071921617,Outbound and email- Connected,967,9123457751
73031657,AE062028443,Outbound and email- Connected,970,9123457754
72757761,AE022133481,Outbound and email- Connected,1006,9123457790
72938771,CE0621938185,Outbound and email- Connected,1022,9123457806
72796594,AE022133481,Outbound and email- Connected,1028,9123457812
72993891,CE0121935819,Outbound and email- Connected,1030,9123457814
73029482,AE051919290,Outbound and email- Connected,1031,9123457815
73029491,AE051919290,Outbound and email- Connected,1039,9123457823
72990297,AE071921617,Outbound and email- Connected,1040,9123457824
73002957,CE0421937466,Outbound and email- Connected,1043,9123457827
73029561,CE0621938059,Outbound and email- Connected,1045,9123457829
72980826,CE0621938061,Outbound and email- Connected,1048,9123457832
72901382,AE102032232,Outbound and email- Connected,1052,9123457836
73032933,AE102032232,Outbound and email- Connected,1062,9123457846
72999537,CE0421937466,Outbound and email- Connected,1088,9123457872
73036795,AE062028443,Outbound and email- Connected,1107,9123457891
73025163,AE062028443,Outbound and email- Connected,1132,9123457916
73028798,CE0621938059,Outbound and email- Connected,1146,9123457930
72993457,AE071921619,Outbound and email- Connected,1149,9123457933
72310657,AE102032232,Outbound and email- Connected,1150,9123457934
72281743,AE051919290,Outbound and email- Connected,1153,9123457937
